eventIdKey,league,teams,line60,over60,under60,score60,minute60,signal60,confidence60,capturedAt60,score85Plus,minute85Plus,capturedAt85Plus
"v-soccer germany bundesliga - 12 mins|tsg hoffenheim|rb leipzig|FT_OU","V-Soccer Germany Bundesliga - 12 mins [V]","TSG Hoffenheim [V] vs RB Leipzig [V]","3/3.5","1.8","1.88","0 : 1","60","OVER_CANDIDATE","MED","2026-02-26T02:23:51.328Z","","",""
"v-soccer england premier league - 12 mins|west ham|aston villa|FT_OU","V-Soccer England Premier League - 12 mins [V]","West Ham [V] vs Aston Villa [V]","2.5/3","1.93","1.76","1 : 0","60","OVER_CANDIDATE","MED","2026-02-26T02:23:03.096Z","","",""
"v-soccer copa libertadores - 12 mins|atletico mineiro|the strongest|FT_OU","V-Soccer Copa Libertadores - 12 mins [V]","Atletico Mineiro [V] vs The Strongest [V]","5/5.5","1.78","1.91","1 : 2","60","OVER_CANDIDATE","HIGH","2026-02-26T02:22:27.090Z","","",""
"v-soccer china super league - 12 mins|zhejiang pro|rongcheng fc|FT_OU","V-Soccer China Super League - 12 mins [V]","Zhejiang Pro [V] vs Rongcheng FC [V]","6.5/7","1.72","1.98","3 : 2","60","NO_TRADE","LOW","2026-02-26T02:21:57.091Z","","",""
"v-soccer spain la liga - 12 mins|villarreal cf|barcelona|FT_OU","V-Soccer Spain La Liga - 12 mins [V]","Villarreal CF [V] vs Barcelona [V]","5/5.5","1.74","1.95","1 : 2","60","OVER_CANDIDATE","MED","2026-02-26T02:15:09.325Z","","",""
"v-soccer champions league - 12 mins|ac milan|arsenal|FT_OU","V-Soccer Champions League - 12 mins [V]","AC Milan [V] vs Arsenal [V]","5/5.5","1.99","1.71","2 : 1","60","OVER_CANDIDATE","MED","2026-02-26T02:14:30.329Z","","",""
"v-soccer argentina liga profesional - 12 mins|lanus|velez sarsfield|FT_OU","V-Soccer Argentina Liga Profesional - 12 mins [V]","Lanus [V] vs Velez Sarsfield [V]","4/4.5","1.73","1.97","1 : 1","60","OVER_CANDIDATE","HIGH","2026-02-26T02:13:12.061Z","","",""
"v-soccer italy serie a - 12 mins|acf fiorentina|atalanta bc|FT_OU","V-Soccer Italy Serie A - 12 mins [V]","ACF Fiorentina [V] vs Atalanta BC [V]","5/5.5","2.05","1.67","1 : 1","60","OVER_CANDIDATE","MED","2026-02-26T02:12:09.062Z","","",""
"v-soccer copa libertadores - 12 mins|flamengo|river plate|FT_OU","V-Soccer Copa Libertadores - 12 mins [V]","Flamengo [V] vs River Plate [V]","6.5/7","1.88","1.81","1 : 3","60","NO_TRADE","LOW","2026-02-26T02:07:39.330Z","","",""
"v-soccer england premier league - 12 mins|chelsea|crystal palace|FT_OU","V-Soccer England Premier League - 12 mins [V]","Chelsea [V] vs Crystal Palace [V]","2.5","1.79","1.89","0 : 0","60","NO_TRADE","LOW","2026-02-26T02:06:39.334Z","","",""
"v-soccer china super league - 12 mins|changchun yatai|henan sslm fc|FT_OU","V-Soccer China Super League - 12 mins [V]","Changchun Yatai [V] vs Henan SSLM FC [V]","4.5/5","1.84","1.84","3 : 0","60","OVER_CANDIDATE","MED","2026-02-26T02:04:58.337Z","","",""
"v-soccer france ligue 1 - 12 mins|stade reims|stade rennais fc|FT_OU","V-Soccer France Ligue 1 - 12 mins [V]","Stade Reims [V] vs Stade Rennais FC [V]","4.5/5","1.61","2.14","1 : 2","60","OVER_CANDIDATE","HIGH","2026-02-26T01:52:59.223Z","","",""
"v-soccer germany bundesliga - 12 mins|bayern|sc freiburg|FT_OU","V-Soccer Germany Bundesliga - 12 mins [V]","Bayern [V] vs SC Freiburg [V]","4.5/5","1.92","1.77","2 : 1","60","NO_TRADE","MED","2026-02-26T01:52:08.341Z","","",""
